駅名,利用者数
加賀笠間,3130
加須,13569
助信,2720
勅旨,56
勇払,0
勇知,0
動植物園入口,682
動橋,1024
動物公園,1430
動物園前,31291
務田,56
勝どき,108147
勝原,2
勝山,759
勝山町,1638
勝川,35202
勝幡,4584
勝木,0
勝沼ぶどう郷,886
勝浦,2142
勝瑞,2430
勝田,28236
勝田台,52882
勝野,0
勝間,324
勝間田,252
勢浜,64
勢野北口,1825
勾当台公園,33926
勾金,300
勿来,1666
北12条,9944
北13条東,7450
北18条,14674
北24条,28566
北34条,14394
北一已,0
北三条,732
北上,7556
北上尾,31568
北与野,20596
北中込,0
北丸森,19
北久米,1269
北久里浜,25627
北五泉,1388
北仙台,16826
北伊丹,11068
北伊予,482
北佐世保,524
北余目,0
北信太,12300
北俣,0
北八王子,19322
北内,190
北初富,5351
北剣淵,0
北加賀屋,25074
北助松,12566
北勢中央公園口,507
北千住,455250
北千束,7268
北千里,25323
北原,254
北参道,24879
北吉原,0
北吉田,0
北品川,9538
北四番丁,17154
北国分,8356
北坂戸,20020
北埠頭,1648
北堀之内,0
北大垣,326
北大宮,6321
北大曲,0
北大町,0
北大石田,0
北大路,31340
北大野,52
北天下茶屋,108
北宇和島,76
北宇智,356
北安城,1498
北小松,722
北小谷,2
北小金,49176
北山,14544
北山形,3180
北山田,28444
北岡崎,3714
北川,0
北巽,13868
北常盤,842
北広島,15410
北府,225
北府中,30552
北延岡,0
北戸田,44040
北新・松本大学前,1394
北新井,480
北新地,100794
北新川,3246
北新横浜,12471
北方,4148
北方真桑,236
北日ノ出,0
北星,0
北春日部,10406
北朝霞,141768
北本,37914
北条,0
北条町,537
北松戸,43432
北松本,1380
北柏,38546
北森,0
北楠,1791
北殿,563
北比布,0
北水海道,505
北永山,0
北永野田,0
北池袋,10036
北池野,450
北河内,50
北浜,70905
北浦,51
北浦和,106264
北浦湖畔,30
北海道医療大学,0
北濃,29
北熊本,830
北田辺,5277
北畠,2563
北白川,0
北真岡,180
北神戸,505
北秩父別,0
北細野,0
北綾瀬,37943
北美瑛,0
北習志野,45774
北能代,0
北舟岡,0
北花田,26294
北茅ヶ崎,5710
北藤岡,0
北見,1296
北豊津,0
北赤羽,38092
北越谷,53007
北郷,0
北里大学前,0
北野,23006
北野桝塚,2394
北野田,33628
北野白梅町,3374
北野辺地,0
北金ヶ沢,0
北金岡,0
北鈴蘭台,10185
北鉄金沢,4450
北鎌倉,18030
北長岡,0
北長瀬,9430
北長野,4032
北間,62
北須坂,874
北飯山,0
北高岩,32
北高崎,3240
北鯖江,1028
北鴻巣,14548
北鹿沼,185
区界,0
医王寺前,551
医療センター,15029
十三,68706
十三里,0
十九条,31
十二兼,16
十二所,0
十二橋,0
十二湖,0
十勝清水,502
十和田南,324
十和田市,0
十国峠,433
十国登り口,433
十字街,2250
十島,73
十川,20
十府ヶ浦海岸,6
十弗,0
十文字,832
十日市場,41608
十日市町,4783
十日町,1486
十村,142
十条,74220
十王,5966
千丁,550
千丈,8
千代,3
千代ヶ岡,0
千代台,569
千代崎,1872
千代川,4306
千代田,13425
千代県庁口,9709
千住大橋,16198
千倉,704
千厩,398
千国,0
千垣,118
千城台,8175
千城台北,2092
千川,40617
千平,13
千年,75
千徳,0
千旦,374
千早,25730
千早口,215
千曲,1005
千曳,6
千本,62
千林,7742
千林大宮,15927
千歳,18150
千歳烏山,83257
千歳町,3400
千歳船橋,60683
千畳敷,0
千石,30729
千種,56483
千綿,0
千船,16945
千葉,216242
千葉みなと,34382
千葉ニュータウン中央,23899
千葉中央,18321
千葉公園,1885
千葉寺,4907
千路,124
千里,2527
千里丘,40594
千里中央,91157
千里山,16237
千金,0
千頭,1081
千駄ヶ谷,34536
千駄木,29659
千鳥,7550
千鳥橋,9581
千鳥町,16646
升形,0
半家,4
半田,3302
半田口,1161
半蔵門,91881
南が丘,3265
南ウッディタウン,1869
南万騎が原,11731
南三原,962
南下徳富,0
南与野,37516
南中川,182
南中郷,1140
南久留米,852
南今庄,26
南仙台,19996
南伊予,186
南伊東,1197
南公園,5299
南出羽,0
南加木屋,8439
南区役所前,1895
南千住,34440
南千歳,3112
南千里,20610
南古谷,16754
南吉田,0
南吹田,4742
南四日市,1430
南堀端,688
南多摩,13568
南大分,1078
南大塚,16937
南大嶺,20
南大東,14
南大沢,63422
南大町,0
南大高,13528
南太田,17523
南宇都宮,1205
南守谷,2495
南安城,5115
南宍道,6
南宮崎,3740
南宿,817
南富山,1276
南富山駅前,2396
南寒河江,0
南小倉,10038
南小松島,1840
南小樽,3976
南小谷,200
南小野田,226
南岩国,3358
南巽,11579
南幌延,0
南平,10722
南平岸,15534
南延岡,1664
南弟子屈,0
南彦根,11802
南御殿場,654
南摂津,9921
南斜里,0
南新宿,3977
南新庄,0
南方,36578
南日向,0
南日永,964
南木曽,583
南条,620
南松本,3008
南林間,34021
南柏,65778
南栄,3643
南栗橋,8843
南桑,5
南桜井,14515
南森町,82999
南橋本,11188
南比布,0
南気仙沼,0
南永山,0
南河内,87
南流山,75100
南浦和,120778
南清水沢,0
南港口,4790
南港東,4026
南滋賀,1905
南瀬高,0
南熊本,2148
南生駒,5256
南田辺,8634
南由布,0
南甲府,1004
南町,1106
南町田グランベリーパーク,40084
南直方御殿口,65
南矢代,330
南石下,317
南石井,0
南砂町,60969
南神城,0
南福岡,20776
南福島,3538
南稚内,128
南米沢,0
南美深,0
南羽咋,130
南羽生,3793
南船橋,45616
南若松,37
南茨木,40604
南草津,60886
南荒子,3100
南荒尾,722
南蛇井,87
南行徳,53769
南行橋,2634
南角田,19
南豊科,1862
南越谷,151524
南部,1418
南部市場,3044
南郷,0
南郷13丁目,15156
南郷18丁目,21718
南郷7丁目,21586
南酒々井,0
南酒出,0
南野,0
南長井,186
南阿佐ヶ谷,28144
南阿蘇水の生まれる里白水高原,0
南阿蘇白川水源,2
南陽市役所,5
南風崎,0
南高崎,63
南高田,1708
南魚崎,1798
南鳥海,0
南鳩ヶ谷,16400
南鹿児島,2688
南鹿児島駅前,1251
博労町,476
博多,253252
博多南,16096
占冠,0
卯之町,568
印南,308
印場,5526
印旛日本医大,4813
印西牧の原,15124
卸町,9450
厄神,1670
厚保,54
厚内,0
厚別,6612
厚岸,254
厚床,0
厚木,34015
厚東,218
厚狭,3118
厚賀,0
原,20478
原ノ町,2048
原向,2
原宿,150682
原市,3116
原当麻,10328
原木,687
原木中山,27467
原水,2000
原爆ドーム前,4540
原爆資料館,2000
原生花園,0
原田,7734
原町,3036
原谷,182
原野,86
厨川,3111
厳木,0
参宮橋,14612
及位,0
友江,341
友部,7156
双岩,58
双葉,0
反町,13562
取手,55226
口羽,0
古井,628
古口,60
古国府,962
古山,0
古島,5143
古川,9758
古川橋,18935
古市,20937
古市橋,3698
古庄,3666
古座,248
古江,5176
古河,26690
古泉,2346
古津,0
古津賀,96
古淵,46036
古瀬,0
古町,4891
古虎渓,768
古見,3419
古賀,13614
古賀茶屋,519
古部,67
古里,0
古間,287
古館,1450
古高松,679
古高松南,448
只見,40
可児,3217
可児川,1505
可部,4494
台原,12274
台場,21421
各務ケ原,921
各務原市役所前,3917
合川,101
合戦場,347
合格,42
吉久,39
吉井,337
吉備津,1210
吉備真備,514
吉原,6581
吉原本町,971
吉名,226
吉堀,0
吉塚,30410
吉富,1000
吉尾,0
吉岡海底,0
吉川,36346
吉川美南,10378
吉成,652
吉松,0
吉水,994
吉永,860
吉沢,18
吉浜,3208
吉浦,2412
吉田,15369
吉田口,92
吉礼,410
吉祥寺,287370
吉舎,266
吉良吉田,2893
吉見,950
吉見ノ里,3908
吉里吉里,101
吉野,1000
吉野ヶ里公園,2594
吉野原,3566
吉野口,2501
吉野生,34
吉野町,16066
吉野神宮,489
同志社前,9272
名取,25854
名古屋,431428
名古屋大学,20910
名古屋港,11042
名和,5706
名城公園,10788
名寄,706
名寄高校,0
名島,3294
名張,11999
名手,876
名立,158
名草,18
名谷,52176
名越,424
名鉄一宮,35867
名鉄名古屋,301998
名鉄岐阜,35345
名電各務原,3403
名電山中,914
名電赤坂,1065
名電長沢,678
向ヶ丘,701
向ヶ丘遊園,67384
向之原,1290
向井原,90
向原,1460
向山,67
向島,15839
向市場,10
向日町,15988
向河原,25626
向洋,23952
向瀬上,45
向能代,60
君ヶ浜,11
君津,16502
吹上,18062
吹浦,0
吹田,45792
吹越,0
吾妻（雲仙市役所前）,204
吾桑,86
吾野,617
呉,21096
呉ポートピア,1706
呉服町,8386
呉羽,3352
周参見,228
周布,182
周船寺,10180
周防下郷,482
周防久保,144
周防佐山,108
周防花岡,610
周防高森,820
味噌天神前,914
味坂,206
味岡,4942
味美,5020
味鋺,4350
呼人,0
呼続,2428
呼野,0
和佐,144
和倉温泉,876
和光市,180819
和多田,776
和寒,0
和戸,4102
和木,2016
和歌山,36516
和歌山大学前,9659
和歌山市,16455
和歌山港,478
和気,2710
和泉中央,33066
和泉多摩川,15751
和泉大宮,4848
和泉府中,35042
和泉橋本,6424
和泉砂川,8332
和泉鳥取,4312
和深,30
和渕,0
和田,662
和田塚,1275
和田山,1278
和田岬,21666
和田河原,3065
和田浜,200
和田浦,0
和田町,18017
和白,3272
和知,254
和賀仙人,0
和邇,4658
和銅黒谷,423
和食,182
咥内,122
咲来,0
咲花,0
品井沼,592
品川,766884
品川シーサイド,48462
唐の原,1134
唐丹,21
唐人町,24810
唐崎,7742
唐木田,17207
唐橋前,1507
唐櫃台,2436
唐津,4518
唐浜,30
唐湊,577
唐笠,23
商工センター入口,6484
商工会議所前,23
商業高校前,738
問寒別,0
善光寺,817
善光寺下,1241
善導寺,0
善師野,1502
善行,27011
善通寺,2786
喜々津,3560
喜久田,0
喜入,1154
喜多,1
喜多山,6322
喜多方,1688
喜多灘,30
喜多見,34207
喜志,17226
喜連瓜破,22925
嘉例川,0
嘉川,366
嘉瀬,65
四ツ倉,1220
四ツ小屋,0
四ツ木,16982
四ツ橋,33094
四ツ谷,197262
四十万,246
四十九,165
四天王寺前夕陽ヶ丘,25721
四季の郷,29
四宮,2137
四所,17
四方津,3234
四日市,4571
四条,102351
四条大宮,5945
四条畷,36976
四街道,44524
四谷三丁目,47014
四辻,650
四郎ヶ原,12
四郷,1454
因原,0
因幡社,40
因幡船岡,40
国会議事堂前,43239
国分,5994
国分寺,226736
国吉,95
国定,3188
国府,10321
国府台,13201
国府多賀城,2170
国府宮,22767
国府津,12000
国母,847
国立,108098
国立競技場,10764
国縫,0
国英,28
国見,6454
国谷,999
国道,0
国際センター,11964
国際会議場前,192
国際会館,26019
国際展示場,59392
国領,38713
園,60
園田,30496
園部,9026
土々呂,0
土井,3108
土佐一宮,730
土佐上川口,15
土佐久礼,314
土佐佐賀,132
土佐入野,157
土佐加茂,154
土佐北川,0
土佐大正,32
土佐大津,742
土佐山田,1860
土佐岩原,4
土佐新荘,20
土佐昭和,6
土佐白浜,1
土佐穴内,12
土佐長岡,80
土合,0
土呂,31542
土居,4754
土居田,2429
土山,28402
土岐市,10069
土崎,4152
土市,0
土師,42
土師ノ里,7284
土底浜,0
土本,1
土樽,0
土橋,8443
土気,26670
土沢,0
土浦,32248
土深井,0
在良,265
地下鉄成増,53700
地下鉄赤塚,40635
地区センター,265
地名,16
地御前,972
地福,40
地蔵橋,642
地蔵町,559
地鉄ビル前,353
坂,6698
坂ノ市,2440
坂上,18
坂下,693
坂下町,20
坂之上,4526
坂元,496
坂出,10666
坂北,252
坂城,1591
坂戸,29107
坂本,0
坂本比叡山口,2246
坂根,4
坂田,1272
坂町,1414
坂祝,794
坂越,1414
坂部,612
坊城,3119
坪井,48
坪井川公園,185
坪尻,2
垂井,5246
垂水,63896
城ヶ崎海岸,746
城下,2209
城北,2055
城北公園通,8158
城崎温泉,1858
城川原,675
城戸南蔵院前,606
城東,123
城端,552
城西,30
城見ヶ丘,27
城野,8994
城陽,6880
埴生,602
基山,7750
堀ノ内,12254
堀内,36
堀内公園,520
堀切,4498
堀切菖蒲園,22589
堀川,583
堀川小泉,925
堀川町,474
堀江,416
堀田,15338
堀米,424
堀詰,1839
堂島,0
堅下,3821
堅田,15686
堺,38712
堺市,24094
堺東,60454
堺田,0
堺筋本町,112553
塔のへつり,55
塔ノ沢,88
塔寺,0
塘路,0
塚原,2240
塚口,47193
塚山,0
塚本,38054
塚田,16203
塚目,0
塚西,123
塩之沢,9
塩入,48
塩塚,419
塩尻,8594
塩屋,13280
塩山,4194
塩崎,2112
塩川,532
塩沢,1078
塩浜,7371
塩狩,0
塩田町,287
塩町,274
塩谷,0
塩郷,15
塩釜,5610
塩釜口,24316
境松,21
境港,822
境町,1569
増尾,13089
増毛,0
墨染,7621
士別,586
壬生,2247
壬生川,1600
売布神社,8297
壺川,4151
壺阪山,1156
夏井,0
夕張,0
夕日ヶ浦木津温泉,97
外城田,218
外川,145
外苑前,82336
夙川,27345
多々良,650
多ノ郷,340
多久,676
多喜浜,168
多奈川,603
多宝塔,732
多寄,0
多屋,1252
多度,729
多度津,4188
多摩センター,37449
多摩動物公園,6073
多摩境,20530
多摩川,17935
多摩湖,2587
多比良,362
多気,1120
多治見,26529
多田,7271
多田羅,106
多磨,13757
多磨霊園,13046
多良,0
多良木,277
多賀城,14402
多賀大社前,120
夜ノ森,0
夜明,0
夜間瀬,135
夜須,176
夢前川,1762
大三,443
大三東,73
大中,7
大中山,0
大久保,56700
大久喜,0
大乗,254
大井町,211676
大井競馬場前,11361
大仁,2401
大住,3978
大佐倉,402
大保,2748
大倉山,55464
大元,3674
大入,0
大内,34
大内山,70
大分,37318
大分大学前,3276
大前,0
大原,3084
大口,37634
大同町,13614
大和,118918
大和上市,499
大和二見,410
大和八木,31478
大和小泉,15596
大和川,135
大和新庄,762
大和朝倉,2125
大和田,20003
大和西大寺,48072
大和高田,15019
大善寺,3357
大国町,32655
大土呂,708
大在,4400
大垣,35036
大城,631
大堀,0
大堂津,0
大堰,359
大場,4911
大塔,1008
大塚,117852
大塚・帝京大学,7475
大塚駅前,7990
大塩,4015
大外羽,648
大多喜,226
大多羅,3246
大学,1061
大学前,711
大学病院,2900
大安,800
大安寺,690
大宝,105
大室,0
大宮,516216
大宮公園,9772
大富,478
大寺,17
大小路,743
大屋,1708
大山,52049
大山ケーブル,551
大山口,450
大山寺,2065
大山崎,6028
大岡,2664
大岡山,51126
大岩,188
大岸,0
大島,34111
大崎,346272
大崎広小路,8633
大嵐,35
大川,0
大川ダム公園,2
大川寺,129
大川平,0
大川野,0
大師前,13982
大師橋,10803
大平,0
大平下,0
大平台,219
大庄,194
大府,29513
大庭,367
大張野,0
大形,2336
大志田,0
大成,0
大戸,0
大戸瀬,0
大手モール,226
大手町,365972
大手町駅前,555
大日,33719
大曲,4086
大更,534
大曽根,65392
大曽根浦,11
大月,10742
大木,42
大杉,104
大村,4712
大板井,70
大桑,177
大森,193944
大森・金城学院前,12690
大森台,2936
大森海岸,16501
大森町,22573
大楽毛,0
大槌,244
大橋,39102
大橋通,2296
大正,50714
大歩危,194
大歳,416
大江,5728
大江山口内宮,8
大江橋,4882
大江高校前,155
大池,3281
大池いこいの森,8
大池遊園,195
大沢,0
大沢内,41
大河内,222
大河原,6688
大河端,89
大沼,118
大沼公園,248
大泉,517
大泉学園,87359
大泊,8
大波止,1800
大洋,263
大洗,2150
大津,34716
大津京,19344
大津市役所前,2042
大津港,1826
大津町,298
大浦,42
大浦天主堂,800
大浦海岸通,500
大海,215
大清水,2770
大湊,290
大溝,1011
大滝,0
大滝温泉,0
大濠公園,22715
大牟田,8373
大物,8081
大狩部,0
大甕,19050
大田切,201
大田口,8
大田市,928
大田郷,337
大町,9317
大町西公園,4648
大畑,0
大畠,1690
大白川,0
大矢,36
大矢知,648
大石,9688
大石田,1584
大磯,16472
大神,862
大神宮下,5071
大福,1642
大竹,6558
大篠津町,122
大網,20638
大羽根園,727
大聖寺,1804
大胡,840
大船,199888
大船渡,0
大船渡魚市場前,0
大草,0
大蔵谷,1981
大藪,251
大蛇,0
大行司,0
大街道,5189
大袋,18687
大西,306
大観峰,3026
大谷,333
大谷向,161
大谷地,27114
大谷海岸,0
大貫,2092
大越,0
大輪田,2264
大通,161388
大道,2950
大釈迦,0
大里,3881
大野,0
大野下,712
大野原,1088
大野台,14
大野城,16738
大野浦,3538
大野町,2389
大金,0
大釜,0
大門,251030
大開,4937
大間,562
大間々,461
大間越,0
大関,126
大阪,845370
大阪ビジネスパーク,14384
大阪上本町,77990
大阪城公園,27062
大阪城北詰,10968
大阪天満宮,50442
大阪教育大前,6484
大阪梅田,512887
大阪港,21960
大阪狭山市,9483
大阪空港,17133
大阪阿部野橋,162589
大阪難波,169146
大阿太,104
大隅夏井,0
大隅大川原,0
大隅横川,0
大雄山,4986
大雲寺前,150
大須観音,19506
大館,1812
大高,8536
大鰐,160
大鰐温泉,422
大鳥居,28927
大鳥羽,200
大鶴,0
大麻,14218
大麻生,237
天ヶ瀬,0
天下茶屋,75834
天台,4379
天和,524
天塩中川,0
天塩川温泉,0
天応,1152
天拝山,5446
天文館通,3762
天橋立,408
天津,0
天満,52754
天満橋,88285
天満町,1668
天王,0
天王台,39004
天王宿,180
天王寺,292326
天王寺駅前,12185
天王洲アイル,42205
天王町,27313
天理,9838
天矢場,21
天神,148166
天神ノ森,127
天神南,30238
天神山,0
天神川,21102
天神橋筋六丁目,55636
天空橋,20774
天竜二俣,232
天竜峡,477
天竜川,5916
天童,2926
天童南,0
天見,336
天道,1130
太刀洗,260
太地,198
太子堂,7872
太子橋今市,12938
太宰府,12139
太市,796
太平,0
太東,976
太海,0
太田,11705
太田川,20593
太田部,0
太秦,9054
太秦天神川,18011
太秦広隆寺,1537
太美,0
太郎丸エンゼルランド,308
太郎坊宮前,140
夫婦石,47
奇跡の一本松,0
奈井江,0
奈半利,322
奈古,166
奈多,2228
奈良,36290
奈良井,136
奥中山高原,329
奥内,0
奥多摩,1868
奥大井湖上,79
奥新川,0
奥武山公園,4438
奥沢,14010
奥泉,57
奥洞海,670
奥津軽いまべつ,52
奥浜名湖,71
奥田,2456
奥田中学校前,366
奥町,4991
奥阿仁,1
女子大,282
女学院前,269
女川,444
女満別,0
女鹿,0
好摩,1764
妙典,53009
妙国寺前,243
妙寺,530
妙心寺,569
妙法寺,33816
妙興寺,2891
妙蓮寺,26102
妙見口,877
妙音通,4160
妙高高原,554
妹尾,6326
妹背牛,0
妻崎,44
妻鹿,2273
姉ヶ崎,20436
姉別,0
姥堂,0
姨捨,128
姪浜,99294
姫,913
姫宮,5215
姫島,14312
姫川,2
姫松,1957
姫路,103526
姶良,2006
婦中鵜坂,486
子供の国,0
子吉,26
子守唄の里高屋,192
子安,7775
孝子,116
学,456
学園前,51146
学園通り,1248
学園都市,37508
学文路,436
学校前,352
学田,0
学研北生駒,6419
学研奈良登美ヶ丘,14165
学習院下,1716
学芸大学,77850
学門,70
宇久井,126
宇佐,854
宇佐美,0
宇和島,2186
宇品三丁目,1809
宇品二丁目,1711
宇品五丁目,1386
宇品四丁目,1964
宇土,3856
宇多津,4494
宇多野,530
宇奈月,3800
宇奈月温泉,828
宇宿,2518
宇宿一丁目,690
宇島,3290
宇治,16824
宇治団地前,100
宇治山田,8650
宇田郷,18
宇美,3802
宇賀本郷,6
宇部,3566
宇部岬,412
宇部新川,1656
宇都井,0
宇都宮,76648
宇野,2618
宇野気,2588
宇野辺,7488
宇頭,3454
守内かさ神,0
守口,17308
守口市,31033
守山,34566
守山自衛隊前,2648
守恒,4836
守谷,50000
安中,3526
安中榛名,600
安倍川,9707
安和,24
安善,0
安国,0
安土,5172
安城,23248
安堂,2387
安塚,1181
安子ヶ島,0
安岡,1546
安平,0
安房勝山,574
安房天津,0
安房小湊,384
安房鴨川,2670
安曇川,3192
安曇沓掛,0
安曇追分,612
安来,1806
安東,8037
安栖里,28
安武,955
安比高原,0
安治川口,26214
安浦,1178
安牛,0
安田,738
安登,714
安積永盛,4952
安立町,1038
安芸,942
安芸中野,5890
安芸川尻,1522
安芸幸崎,452
安芸津,704
安芸矢口,3804
安芸長束,6136
安芸長浜,560
安芸阿賀,4672
安茂里,2112
安足間,0
安達,1574
安部,42
安部山公園,4708
安里,4684
安野屋,199
安針塚,4671
安食,5064
宍喰,21
宍戸,774
宍道,1170
宗吾参道,2757
宗太郎,0
宗道,213
定光寺,308
宝ヶ池,795
宝塚,59420
宝塚南口,11753
宝山寺,999
宝木,298
宝来町,344
宝殿,19444
宝永町,802
宝珠山,0
宝町,32982
宝積寺,4558
宝達,616
実籾,24299
室,647
室堂,3026
室生口大野,956
室蘭,1262
室見,16903
宮の坂,4807
宮の奥,87
宮の沢,29008
宮の陣,2107
宮ノ下,379
宮ノ前,3101
宮ノ平,0
宮ノ越,91
宮ヶ浜,0
宮之阪,5009
宮内,2100
宮内串戸,9614
宮前,3334
宮前平,51907
宮原,48558
宮口,227
宮古,910
宮地,0
宮城野原,12140
宮城野通,6522
宮守,0
宮山,0
宮島ボートレース場,0
宮島口,8618
宮崎,9914
宮崎台,50176
宮崎神宮,1058
宮崎空港,1854
宮川,556
宮木,1219
宮本武蔵,7
宮村,6
宮津,674
宮田,641
宮田町,912
宮町,1227
宮脇,600
宮越,0
宮野,748
家中,425
家久,129
家地川,4
家城,464
家山,258
家庭裁判所前,262
宿川原,9
宿戸,0
宿毛,413
宿河原,16446
宿院,668
寄居,7302
寄畑,29
富加,161
富原,50
富合,1230
富吉,5186
富士,15576
富士フイルム前,1309
富士宮,4788
富士山,1587
富士山下,85
富士岡,2241
富士川,2961
富士急ハイランド,1206
富士松,3478
富士根,903
富士見,1812
富士見ヶ丘,13958
富士見台,27936
富士見町,4150
富山,24540
富山大学前,2743
富山駅,5345
富岡,0
富岡前,965
富川,0
富戸,378
富木,7796
富根,0
富水,6796
富沢,15396
富浦,406
富海,376
富田,17318
富田林,13577
富田林西口,6537
富田浜,431
富良野,1190
富貴,2513
富野,34
富野荘,6307
富雄,28125
寒川,13876
寒河,354
寒河江,1810
寝屋川公園,8762
寝屋川市,52861
寸座,22
寺下,143
寺内,76
寺前,744
寺原,2018
寺地町,377
寺家,3734
寺尾,4192
寺庄,1514
寺本,3939
寺泊,320
寺田,8691
寺田町,34636
寺町,418
寿,335
将軍山,0
小中,14
小中野,0
小串,558
小串郷,0
小井川,453
小伝馬町,41132
小佐越,215
小佐野,92
小作,32594
小俣,746
小倉,71270
小倉台,3120
小内海,0
小出,1702
小前田,1045
小千谷,2556
小原,64
小友,0
小古曽,277
小台,3186
小和清水,16
小和田,7
小国,232
小坂井,909
小垣江,3846
小城,2100
小塙,0
小塩江,0
小天橋,62
小奴可,2
小室,4033
小宮,6100
小屋の畑,0
小屋平,0
小屋浦,746
小山,45442
小山田,0
小岩,132960
小岩井,888
小岩川,0
小島,106
小島新田,22743
小島谷,0
小川,29859
小川原,39
小川町,74725
小川郷,0
小布施,1658
小幌,0
小幡,13381
小幡緑地,983
小平,38780
小手指,48781
小月,3762
小木ノ城,0
小木津,5220
小本,3000
小机,20776
小杉,6456
小村井,11693
小村神社前,140
小松,8966
小松川,0
小林,14763
小柳,1038
小栗山,8
小梨,0
小森江,2892
小樽,18144
小樽築港,4878
小橋,201
小櫃,0
小歩危,10
小江,0
小池,947
小沢,0
小泉,2618
小泉町,400
小波渡,0
小波瀬西工大前,3786
小浜,1668
小浦,289
小海,372
小涌谷,382
小淵沢,3224
小渕,13
小湊,726
小滝,4
小牛田,4132
小牧,11278
小牧原,3700
小牧口,3405
小田,150
小田井,392
小田原,68520
小田急多摩センター,51315
小田急永山,31056
小田急相模原,57496
小田林,0
小田栄,0
小田渕,546
小町屋,1279
小砂川,0
小禄,7707
小竹,1382
小竹向原,339614
小篭通,31
小絹,2008
小網町,953
小繋,7
小舞子,532
小舟渡,14
小菅,6177
小見川,2450
小諸,6518
小谷松,3
小路,8580
小郡,1021
小野,7381
小野上,0
小野上温泉,0
小野屋,702
小野新町,780
小野田,2622
小野田港,166
小野町,826
小金井,8388
小金城趾,1721
小金沢,0
小針,5188
小長井,0
小高,0
小鳥谷,98
小鶴新田,12572
少路,13106
尺別,0
尺土,4348
尻手,29774
尼ヶ坂,3839
尼ヶ辻,4738
尼子,240
尼崎,91854
尼崎センタープール前,9320
尾上の松,3219
尾上高校前,84
尾久,20000
尾奈,74
尾山台,30594
尾崎,10428
尾幌,0
尾張一宮,54139
尾張旭,7979
尾張星の宮,485
尾張森岡,1286
尾張横須賀,5505
尾張瀬戸,8541
尾登,0
尾白内,0
尾盛,1
尾道,11174
尾関山,0
尾頭橋,7490
尾鷲,758
居組,16
居能,372
屋代,4265
屋代高校前,1961
屋島,1238
屏風浦,18233
山の田,101
山の街,3969
山ノ内,1028
山ノ目,0
山上,706
山下,9349
山中渓,358
山之口,0
山前,0
山北,1115
山口,3378
山口団地,20
山名,129
山吹,136
山城,893
山城多賀,896
山城青谷,1844
山家,44
山寺,1062
山岡,128
山岸,0
山崎,11882
山川,0
山形,21456
山手,35184
山方宿,206
山本,16904
山東,68
山梨市,3472
山河内,16
山瀬,208
山王,7261
山田,23858
山田上口,240
山田川,4280
山田西町,506
山科,69926
山西,2346
山谷,59
山越,0
山部,0
山郷,4
山都,374
山門,732
山陽垂水,9888
山陽塩屋,1202
山陽天満,1857
山陽女学園前,2893
山陽姫路,24079
山陽明石,26002
山陽曽根,2738
山陽網干,3549
山陽須磨,2607
山陽魚住,2027
山隈,228
山麓,706
山鼻19条,942
山鼻9条,1406
岐南,2018
岐波,418
岐阜,64243
岐阜羽島,5588
岡,93
岡地,100
岡場,9396
岡寺,1367
岡山,138650
岡山駅前,7281
岡崎,48153
岡崎公園前,4970
岡崎前,922
岡本,28105
岡田,970
岡田浦,2475
岡町,16895
岡花,114
岡見,68
岡谷,6504
